impact,confidence,detector,finding
Low,Medium,calls-loop,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: staker.stakeFor(owner,pepeIds[i_scope_1],share) (src/PSPReinvestor.sol#119)"
Low,Medium,calls-loop,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421) has external calls inside a loop: ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#417)"
Low,Medium,calls-loop,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421) has external calls inside a loop: ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#410-415)"
Low,Medium,calls-loop,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: staker.isWithdrawing(pepeIds[i_scope_0]) (src/PSPReinvestor.sol#107)"
Low,Medium,calls-loop,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: staker.ownerOf(pepeIds[i]) != owner (src/PSPReinvestor.sol#94)"
Low,Medium,calls-loop,PSPFactory.birthRound() (src/PSPFactory.sol#339-346) has external calls inside a loop: this.birthStep() (src/PSPFactory.sol#342)
Low,Medium,calls-loop,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: pos = staker.positions(pepeIds[i_scope_0]) (src/PSPReinvestor.sol#106)"
Low,Medium,reentrancy-benign,"Reentrancy in PSPStaker._stake(address,uint256,uint256) (src/PSPStaker.sol#470-499):"
Low,Medium,reentrancy-benign,Reentrancy in RoundController.detonate() (src/RoundController.sol#552-591):
Low,Medium,reentrancy-benign,Reentrancy in PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#562-579):
Low,Medium,reentrancy-benign,Reentrancy in PSPStaker.requestWithdraw(uint256) (src/PSPStaker.sol#504-521):
Low,Medium,reentrancy-benign,Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#182-193):
Low,Medium,reentrancy-benign,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421):"
Low,Medium,reentrancy-benign,Reentrancy in PSPStaker.cancelWithdraw(uint256) (src/PSPStaker.sol#525-542):
Low,Medium,reentrancy-benign,Reentrancy in PSPFactory._birthWire() (src/PSPFactory.sol#487-553):
Low,Medium,reentrancy-benign,"Reentrancy in CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#434-520):"
Low,Medium,reentrancy-benign,Reentrancy in PSPFactory._birthPeriphery() (src/PSPFactory.sol#447-479):
Low,Medium,reentrancy-benign,Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#182-193):
Low,Medium,reentrancy-benign,Reentrancy in PSPStaker.withdraw(uint256) (src/PSPStaker.sol#548-575):
