detector,severity,confidence,description
reentrancy-benign,Low,Medium,"Reentrancy in CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#442-528):
	External calls:
	- poolManager.take(mixETH,address(this),mixETHInput) (src/CurveHook.sol#504)
	- controller.mintPSPForSwap(pspOut) (src/CurveHook.sol#507)
	State variables written after the call(s):
	- stakerFeeMixETH = _splitFee(refTrader,feeMixETH,mixETH) (src/CurveHook.sol#511)
		- deployerCredit += deployerLeg (src/CurveHook.sol#435)
	- stakerFeeMixETH = _splitFee(refTrader,feeMixETH,mixETH) (src/CurveHook.sol#511)
		- potBalance += potLeg + (refLeg - paid) (src/CurveHook.sol#432)
		- potBalance += potLeg + (refLeg - deployerLeg) (src/CurveHook.sol#436)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPStaker._stake(address,uint256,uint256) (src/PSPStaker.sol#487-517):
	External calls:
	- _settleAndPay(pepeId,user,msg.sender == user) (src/PSPStaker.sol#493)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- _stakedByOwner[user] += amount (src/PSPStaker.sol#514)
	- p = _checkpoint() (src/PSPStaker.sol#509)
		- anchored = true (src/PSPStaker.sol#361)
	- p = _checkpoint() (src/PSPStaker.sol#509)
		- lastPointEpoch = p.epoch (src/PSPStaker.sol#360)
	- p = _checkpoint() (src/PSPStaker.sol#509)
		- points[p.epoch] = p (src/PSPStaker.sol#359)
	- points[p.epoch] = p (src/PSPStaker.sol#511)
	- totalLocked += amount (src/PSPStaker.sol#513)"
reentrancy-benign,Low,Medium,"Reentrancy in RoundController.detonate() (src/RoundController.sol#552-591):
	External calls:
	- h.setMode(CurveHook.Mode.Flat) (src/RoundController.sol#559)
	State variables written after the call(s):
	- flatTime = block.timestamp (src/RoundController.sol#561)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPStaker.requestWithdraw(uint256) (src/PSPStaker.sol#522-539):
	External calls:
	- _settleAndPay(pepeId,msg.sender,true) (src/PSPStaker.sol#528)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- e = _checkpoint().epoch (src/PSPStaker.sol#530)
		- anchored = true (src/PSPStaker.sol#361)
	- biasSub[e] += pos.amount - base (src/PSPStaker.sol#536)
	- e = _checkpoint().epoch (src/PSPStaker.sol#530)
		- lastPointEpoch = p.epoch (src/PSPStaker.sol#360)
	- e = _checkpoint().epoch (src/PSPStaker.sol#530)
		- points[p.epoch] = p (src/PSPStaker.sol#359)
	- slopeAdd[e] += slope (src/PSPStaker.sol#534)
	- slopeSub[e + VEST_EPOCHS] += slope (src/PSPStaker.sol#535)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPStaker.cancelWithdraw(uint256) (src/PSPStaker.sol#543-560):
	External calls:
	- _settleAndPay(pepeId,msg.sender,true) (src/PSPStaker.sol#548)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- p = _checkpoint() (src/PSPStaker.sol#550)
		- anchored = true (src/PSPStaker.sol#361)
	- p = _unscheduleDecay(pos,p) (src/PSPStaker.sol#552)
		- biasSub[r] -= pos.amount - base (src/PSPStaker.sol#604)
	- p = _checkpoint() (src/PSPStaker.sol#550)
		- lastPointEpoch = p.epoch (src/PSPStaker.sol#360)
	- p = _checkpoint() (src/PSPStaker.sol#550)
		- points[p.epoch] = p (src/PSPStaker.sol#359)
	- points[p.epoch] = p (src/PSPStaker.sol#554)
	- p = _unscheduleDecay(pos,p) (src/PSPStaker.sol#552)
		- slopeAdd[r] -= slope (src/PSPStaker.sol#603)
	- p = _unscheduleDecay(pos,p) (src/PSPStaker.sol#552)
		- slopeSub[r + VEST_EPOCHS] -= slope (src/PSPStaker.sol#605)
		- slopeSub[r + VEST_EPOCHS] -= slope (src/PSPStaker.sol#608)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPFactory._birthWire() (src/PSPFactory.sol#483-549):
	External calls:
	- controller.setHook(hook) (src/PSPFactory.sol#496)
	- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
	- controller.seedCarry(carry) (src/PSPFactory.sol#510)
	- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	State variables written after the call(s):
	- currentRoundId = r.newRoundId (src/PSPFactory.sol#538)
	- rounds[r.newRoundId] = Round({token:token,controller:controller,hook:hook,destroyed:false,name:r.name,symbol:r.symbol}) (src/PSPFactory.sol#530-537)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPStaker.withdraw(uint256) (src/PSPStaker.sol#566-594):
	External calls:
	- _settleAndPay(pepeId,msg.sender,true) (src/PSPStaker.sol#577)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- _stakedByOwner[msg.sender] -= amount (src/PSPStaker.sol#586)
	- p = _checkpoint() (src/PSPStaker.sol#580)
		- anchored = true (src/PSPStaker.sol#361)
	- p = _unscheduleDecay(pos,p) (src/PSPStaker.sol#582)
		- biasSub[r] -= pos.amount - base (src/PSPStaker.sol#604)
	- p = _checkpoint() (src/PSPStaker.sol#580)
		- lastPointEpoch = p.epoch (src/PSPStaker.sol#360)
	- p = _checkpoint() (src/PSPStaker.sol#580)
		- points[p.epoch] = p (src/PSPStaker.sol#359)
	- points[p.epoch] = p (src/PSPStaker.sol#584)
	- p = _unscheduleDecay(pos,p) (src/PSPStaker.sol#582)
		- slopeAdd[r] -= slope (src/PSPStaker.sol#603)
	- p = _unscheduleDecay(pos,p) (src/PSPStaker.sol#582)
		- slopeSub[r + VEST_EPOCHS] -= slope (src/PSPStaker.sol#605)
		- slopeSub[r + VEST_EPOCHS] -= slope (src/PSPStaker.sol#608)
	- totalLocked -= amount (src/PSPStaker.sol#585)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#558-575):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#571)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#572)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	State variables written after the call(s):
	- _birthPeriphery() (src/PSPFactory.sol#572)
		- referralRegistryOf[r.newRoundId] = registry (src/PSPFactory.sol#462)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPReferralRegistry.buyWithMix(PoolKey,uint256,uint256,uint256,uint256) (src/PSPReferralRegistry.sol#130-158):
	External calls:
	- pspOut = abi.decode(manager.unlock(data),(uint256)) (src/PSPReferralRegistry.sol#155)
	State variables written after the call(s):
	- activeManager = address(0) (src/PSPReferralRegistry.sol#156)
	- activePurchase = bytes32(0) (src/PSPReferralRegistry.sol#157)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#186)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#187)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	- _birthWire() (src/PSPFactory.sol#188)
		- controller.setHook(hook) (src/PSPFactory.sol#496)
		- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
		- controller.seedCarry(carry) (src/PSPFactory.sol#510)
		- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	State variables written after the call(s):
	- _birthWire() (src/PSPFactory.sol#188)
		- rounds[r.newRoundId] = Round({token:token,controller:controller,hook:hook,destroyed:false,name:r.name,symbol:r.symbol}) (src/PSPFactory.sol#530-537)"
reentrancy-benign,Low,Medium,"Reentrancy in CurveHook._handleSell(PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#532-592):
	External calls:
	- poolManager.take(psp,address(this),pspInputAmount) (src/CurveHook.sol#571)
	- controller.burnPSPForSwap(pspInputAmount) (src/CurveHook.sol#574)
	- _settleCurrency(mixETH,mixETHToUser) (src/CurveHook.sol#577)
		- poolManager.sync(currency) (src/CurveHook.sol#243)
		- poolManager.settle() (src/CurveHook.sol#245)
	State variables written after the call(s):
	- stakerFeeMixETH = _splitFee(refTrader,feeMixETH,mixETH) (src/CurveHook.sol#580)
		- deployerCredit += deployerLeg (src/CurveHook.sol#435)
	- stakerFeeMixETH = _splitFee(refTrader,feeMixETH,mixETH) (src/CurveHook.sol#580)
		- potBalance += potLeg + (refLeg - paid) (src/CurveHook.sol#432)
		- potBalance += potLeg + (refLeg - deployerLeg) (src/CurveHook.sol#436)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476):
	External calls:
	- token.setController(address(controller)) (src/PSPFactory.sol#450)
	- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
	State variables written after the call(s):
	- referralRegistryOf[r.newRoundId] = registry (src/PSPFactory.sol#462)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439):
	External calls:
	- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
	- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- totalFeesPaid += paid (src/PSPStaker.sol#438)"
reentrancy-benign,Low,Medium,"Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#186)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#187)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	State variables written after the call(s):
	- _birthPeriphery() (src/PSPFactory.sol#187)
		- referralRegistryOf[r.newRoundId] = registry (src/PSPFactory.sol#462)"
reentrancy-events,Low,Medium,"Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#186)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#187)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	- _birthWire() (src/PSPFactory.sol#188)
		- controller.setHook(hook) (src/PSPFactory.sol#496)
		- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
		- controller.seedCarry(carry) (src/PSPFactory.sol#510)
		- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	Event emitted after the call(s):
	- ETHCarried(r.fromRoundId,r.newRoundId,carry) (src/PSPFactory.sol#540)
		- _birthWire() (src/PSPFactory.sol#188)
	- RoundDeployed(r.newRoundId,address(token),address(controller),address(hook),controller.stakerAddress()) (src/PSPFactory.sol#542-544)
		- _birthWire() (src/PSPFactory.sol#188)"
reentrancy-events,Low,Medium,"Reentrancy in CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#442-528):
	External calls:
	- poolManager.take(mixETH,address(this),mixETHInput) (src/CurveHook.sol#504)
	- controller.mintPSPForSwap(pspOut) (src/CurveHook.sol#507)
	Event emitted after the call(s):
	- ReferralPaid(trader,who[i],i,cut) (src/CurveHook.sol#410)
		- stakerFeeMixETH = _splitFee(refTrader,feeMixETH,mixETH) (src/CurveHook.sol#511)"
reentrancy-events,Low,Medium,"Reentrancy in RoundController.addFees(uint256) (src/RoundController.sol#285-288):
	External calls:
	- staker.addFees(mixETHAmount) (src/RoundController.sol#286)
	Event emitted after the call(s):
	- FeesAdded(mixETHAmount) (src/RoundController.sol#287)"
reentrancy-events,Low,Medium,"Reentrancy in CurveHook._handleSell(PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#532-592):
	External calls:
	- poolManager.take(psp,address(this),pspInputAmount) (src/CurveHook.sol#571)
	- controller.burnPSPForSwap(pspInputAmount) (src/CurveHook.sol#574)
	- _settleCurrency(mixETH,mixETHToUser) (src/CurveHook.sol#577)
		- poolManager.sync(currency) (src/CurveHook.sol#243)
		- poolManager.settle() (src/CurveHook.sol#245)
	Event emitted after the call(s):
	- ReferralPaid(trader,who[i],i,cut) (src/CurveHook.sol#410)
		- stakerFeeMixETH = _splitFee(refTrader,feeMixETH,mixETH) (src/CurveHook.sol#580)"
reentrancy-events,Low,Medium,"Reentrancy in PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#558-575):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#571)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#572)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	- _birthWire() (src/PSPFactory.sol#573)
		- controller.setHook(hook) (src/PSPFactory.sol#496)
		- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
		- controller.seedCarry(carry) (src/PSPFactory.sol#510)
		- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	Event emitted after the call(s):
	- ETHCarried(r.fromRoundId,r.newRoundId,carry) (src/PSPFactory.sol#540)
		- _birthWire() (src/PSPFactory.sol#573)
	- RoundDeployed(r.newRoundId,address(token),address(controller),address(hook),controller.stakerAddress()) (src/PSPFactory.sol#542-544)
		- _birthWire() (src/PSPFactory.sol#573)"
reentrancy-events,Low,Medium,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439):
	External calls:
	- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
	Event emitted after the call(s):
	- FeesDeferred(to,pepeId,paid) (src/PSPStaker.sol#431)"
reentrancy-events,Low,Medium,"Reentrancy in PSPFactory._birthWire() (src/PSPFactory.sol#483-549):
	External calls:
	- controller.setHook(hook) (src/PSPFactory.sol#496)
	- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
	- controller.seedCarry(carry) (src/PSPFactory.sol#510)
	- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	Event emitted after the call(s):
	- ETHCarried(r.fromRoundId,r.newRoundId,carry) (src/PSPFactory.sol#540)
	- RoundDeployed(r.newRoundId,address(token),address(controller),address(hook),controller.stakerAddress()) (src/PSPFactory.sol#542-544)"
return-bomb,Low,Medium,"RoundController.detonate() (src/RoundController.sol#552-591) tries to limit the gas of an external call that controls implicit decoding
	(okSpawn,spawned) = factory.call{gas: gasleft()() - 100_000}(abi.encodeWithSelector(bytes4(0x1c9424dc),factoryRoundId)) (src/RoundController.sol#584-586)"
timestamp,Low,Medium,"PSPZapOut.sellToMix(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#95-120) uses timestamp for comparisons
	Dangerous comparisons:
	- deadline != 0 && block.timestamp > deadline (src/PSPZapOut.sol#100)"
timestamp,Low,Medium,"PSPStaker._distribute() (src/PSPStaker.sol#709-728) uses timestamp for comparisons
	Dangerous comparisons:
	- pendingFeesMixETH == 0 (src/PSPStaker.sol#710)
	- w == 0 (src/PSPStaker.sol#712)
	- delta == 0 (src/PSPStaker.sol#714)
	- numerator % CREDIT_PRECISION != 0 (src/PSPStaker.sol#720)
	- feeEpochs.length == 0 || feeEpochs[feeEpochs.length - 1].epoch != epoch (src/PSPStaker.sol#722)"
timestamp,Low,Medium,"PSPStaker._feeSlice(uint256,uint256,uint256) (src/PSPStaker.sol#378-384) uses timestamp for comparisons
	Dangerous comparisons:
	- nextRemainder >= CREDIT_PRECISION (src/PSPStaker.sol#383)"
timestamp,Low,Medium,"CurveHook._beforeSwap(address,PoolKey,SwapParams,bytes) (src/CurveHook.sol#324-375) uses timestamp for comparisons
	Dangerous comparisons:
	- mode == Mode.Active && block.timestamp >= detonationAt (src/CurveHook.sol#334)"
timestamp,Low,Medium,"CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#442-528) uses timestamp for comparisons
	Dangerous comparisons:
	- newDet > cap (src/CurveHook.sol#483)"
timestamp,Low,Medium,"PSPStaker._advance(PSPStaker.GlobalPoint,uint256) (src/PSPStaker.sol#313-326) uses timestamp for comparisons
	Dangerous comparisons:
	- e < end (src/PSPStaker.sol#317)
	- to < p.epoch + VEST_EPOCHS + 1 (src/PSPStaker.sol#316)"
timestamp,Low,Medium,"PSPStaker.claimFeesTo(uint256,address) (src/PSPStaker.sol#622-628) uses timestamp for comparisons
	Dangerous comparisons:
	- paid == 0 (src/PSPStaker.sol#626)"
timestamp,Low,Medium,"PSPReferralRegistry.buyWithMix(PoolKey,uint256,uint256,uint256,uint256) (src/PSPReferralRegistry.sol#130-158) uses timestamp for comparisons
	Dangerous comparisons:
	- deadline != 0 && block.timestamp > deadline (src/PSPReferralRegistry.sol#135)"
timestamp,Low,Medium,"PSPStaker.withdraw(uint256) (src/PSPStaker.sol#566-594) uses timestamp for comparisons
	Dangerous comparisons:
	- ! flat && _epoch() < pos.requestEpoch + VEST_EPOCHS (src/PSPStaker.sol#573)"
timestamp,Low,Medium,"RoundController.detonate() (src/RoundController.sol#552-591) uses timestamp for comparisons
	Dangerous comparisons:
	- block.timestamp < h.detonationAt() (src/RoundController.sol#555)"
timestamp,Low,Medium,"CurveHook.getBuyOutput(uint256) (src/CurveHook.sol#901-917) uses timestamp for comparisons
	Dangerous comparisons:
	- block.timestamp >= detonationAt (src/CurveHook.sol#910)"
timestamp,Low,Medium,"HookDeployer.mineHook(IPoolManager,address,address,CurveMath.CurveConfig,address,uint256) (src/HookDeployer.sol#96-122) uses timestamp for comparisons
	Dangerous comparisons:
	- budget == 0 (src/HookDeployer.sol#111)
	- cand.code.length == 0 (src/HookDeployer.sol#117)
	- scanned >= maxIter (src/HookDeployer.sol#120)"
timestamp,Low,Medium,"RoundController.predepositState() (src/RoundController.sol#401-425) uses timestamp for comparisons
	Dangerous comparisons:
	- (totalPredepositMixETH,PREDEPOSIT_CAP,predepositStartTime,predepositClosed,capReached,windowOver,(capReached || windowOver) && ! predepositClosed) (src/RoundController.sol#416-424)"
timestamp,Low,Medium,"PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291) uses timestamp for comparisons
	Dangerous comparisons:
	- pos.amount == 0 || e < pos.startEpoch (src/PSPStaker.sol#285)
	- ! isWithdrawing[pepeId] || e <= pos.requestEpoch (src/PSPStaker.sol#286)
	- k >= VEST_EPOCHS (src/PSPStaker.sol#288)"
timestamp,Low,Medium,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439) uses timestamp for comparisons
	Dangerous comparisons:
	- paid == 0 (src/PSPStaker.sol#425)"
timestamp,Low,Medium,"PSPStaker._unscheduleDecay(PSPStaker.Position,PSPStaker.GlobalPoint) (src/PSPStaker.sol#597-611) uses timestamp for comparisons
	Dangerous comparisons:
	- p.epoch == r (src/PSPStaker.sol#602)
	- p.epoch <= r + VEST_EPOCHS (src/PSPStaker.sol#606)"
timestamp,Low,Medium,"PSPStaker._creditBeforeEpoch(uint256) (src/PSPStaker.sol#367-376) uses timestamp for comparisons
	Dangerous comparisons:
	- lo < hi (src/PSPStaker.sol#370)
	- feeEpochs[mid].epoch < epoch (src/PSPStaker.sol#372)
	- lo == feeEpochs.length (src/PSPStaker.sol#375)"
timestamp,Low,Medium,"RoundController._windowOver() (src/RoundController.sol#396-398) uses timestamp for comparisons
	Dangerous comparisons:
	- block.timestamp >= predepositStartTime + PREDEPOSIT_DURATION (src/RoundController.sol#397)"
timestamp,Low,Medium,"RoundController.launchPooledBuy() (src/RoundController.sol#432-486) uses timestamp for comparisons
	Dangerous comparisons:
	- msg.sender != owner() && ! _capReached() && ! _windowOver() (src/RoundController.sol#434)"
timestamp,Low,Medium,"CurveHook.getSellOutput(uint256) (src/CurveHook.sol#920-933) uses timestamp for comparisons
	Dangerous comparisons:
	- block.timestamp >= detonationAt (src/CurveHook.sol#928)"
timestamp,Low,Medium,"PSPZapIn._buyWithMix(PoolKey,uint256,uint256,uint256,address) (src/PSPZapIn.sol#131-151) uses timestamp for comparisons
	Dangerous comparisons:
	- deadline != 0 && block.timestamp > deadline (src/PSPZapIn.sol#136)"
timestamp,Low,Medium,"PSPStaker.requestWithdraw(uint256) (src/PSPStaker.sol#522-539) uses timestamp for comparisons
	Dangerous comparisons:
	- base != pos.amount (src/PSPStaker.sol#536)"
timestamp,Low,Medium,"PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406) uses timestamp for comparisons
	Dangerous comparisons:
	- end > from (src/PSPStaker.sol#399)
	- start > pos.creditCheckpoint (src/PSPStaker.sol#398)"
timestamp,Low,Medium,"PSPZapIn.zapInBuy(PoolKey,uint256,uint256) (src/PSPZapIn.sol#78-101) uses timestamp for comparisons
	Dangerous comparisons:
	- deadline != 0 && block.timestamp > deadline (src/PSPZapIn.sol#84)"
timestamp,Low,Medium,"PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85) uses timestamp for comparisons
	Dangerous comparisons:
	- deadline != 0 && block.timestamp > deadline (src/PSPZapOut.sol#60)"
timestamp,Low,Medium,"PSPStaker.claimAllTo(uint256[],address) (src/PSPStaker.sol#631-641) uses timestamp for comparisons
	Dangerous comparisons:
	- totalPaid == 0 (src/PSPStaker.sol#639)"
assembly,Informational,High,"HookMiner.find(address,uint160,bytes,bytes) (src/utils/HookMiner.sol#24-74) uses assembly
	- INLINE ASM (src/utils/HookMiner.sol#54-72)"
assembly,Informational,High,"HookMiner.nextCandidateCapped(address,bytes32,uint160,bytes,bytes,uint256,uint256) (src/utils/HookMiner.sol#148-275) uses assembly
	- INLINE ASM (src/utils/HookMiner.sol#170-273)"
assembly,Informational,High,"HookDeployer.deployHookAt(bytes32,IPoolManager,address,address,CurveMath.CurveConfig,address) (src/HookDeployer.sol#128-143) uses assembly
	- INLINE ASM (src/HookDeployer.sol#139-141)"
assembly,Informational,High,"PSPReferralRegistry.record(uint256) (src/PSPReferralRegistry.sol#117-123) uses assembly
	- INLINE ASM (src/PSPReferralRegistry.sol#120)"
assembly,Informational,High,"ControllerDeployer.deployControllerAt(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#88-119) uses assembly
	- INLINE ASM (src/ControllerDeployer.sol#107-109)
	- INLINE ASM (src/ControllerDeployer.sol#111-116)"
assembly,Informational,High,"ControllerDeployer.deployController(PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#38-78) uses assembly
	- INLINE ASM (src/ControllerDeployer.sol#53-61)
	- INLINE ASM (src/ControllerDeployer.sol#68-75)"
costly-loop,Informational,Medium,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439) has costly operations inside a loop:
	- totalFeesPaid += paid (src/PSPStaker.sol#438)
	Calls stack containing the loop:
		PSPStaker.claimAllTo(uint256[],address)"
cyclomatic-complexity,Informational,High,"HookMiner.nextCandidateCapped(address,bytes32,uint160,bytes,bytes,uint256,uint256) (src/utils/HookMiner.sol#148-275) has a high cyclomatic complexity (13)."
cyclomatic-complexity,Informational,High,"CurveMath.computeBuyOutput(uint256,uint256,CurveMath.CurveConfig) (src/libraries/CurveMath.sol#118-248) has a high cyclomatic complexity (27)."
cyclomatic-complexity,Informational,High,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has a high cyclomatic complexity (14)."
dead-code,Informational,Medium,PSPStaker._anchorNow() (src/PSPStaker.sol#344-354) is never used and should be removed
low-level-calls,Informational,High,"Low level call in RoundController.detonate() (src/RoundController.sol#552-591):
	- (okMark,None) = factory.call(abi.encodeWithSelector(bytes4(0x723c5612),factoryRoundId)) (src/RoundController.sol#565)
	- (okSpawn,spawned) = factory.call{gas: gasleft()() - 100_000}(abi.encodeWithSelector(bytes4(0x1c9424dc),factoryRoundId)) (src/RoundController.sol#584-586)"
low-level-calls,Informational,High,"Low level call in PSPReferralRegistry._ownerOf(uint256) (src/PSPReferralRegistry.sol#214-219):
	- (ok,data) = address(staker).staticcall(abi.encodeWithSignature(ownerOf(uint256),nftId)) (src/PSPReferralRegistry.sol#215-216)"
